ID,label,type,buyer_type,city
RO_body_36050ea02729e31854b856d86f4525748579972a844a960b27a2010850210f83,Abacus Systems & Solutions S.R.L.,bidder,,Bucuresti Sectorul 1
RO_body_705d5a947d6b9d5344de93b6c8c6322595c8087ef1f4579449bea30be6a9c2cc,Abatech S.R.L.,bidder,,Bucuresti Sectorul 3
EU_body_b95f90d241dd17998c32bef9022aa2bf2e06a350ed770d036daac1981b2f876f,Abb S.R.L.,bidder,,Bucuresti
RO_body_8cd7b2e5954847577c17d0ccff9dc2047c166f0fa02cd37f74c6f5d5cadb0458,Abc Neacsu Com S.R.L.,bidder,,Alexandria
RO_body_3f128c72adf9af342716f1a0818ad424b8a39f518e658bd8a40017e522bf2cd3,Abc Solutii Informatice S.R.L.,bidder,,Pitesti
RO_body_3e531b567e38c3aa157a6e07179e2c88fbb51b931866516dae80100a2b883b84,Ab-El S.R.L.,bidder,,Galati
RO_body_d8828521288807d9fe6c6bb32d4ebb0f6d17f824b7e2eb1be0831a172f8552d3,Abinit Impex S.R.L.,bidder,,Craiova
RO_body_a0a6a915dd6654c9cf30c0985efaa94ede070f611356555e24f25ef6c7c1859f,Abitat Costruzioni S.R.L.,bidder,,Ploiesti
RO_body_bdc96a2c2d77838911546c8fba509f7f8ef8d1fffcd3794c88e5831d3599c707,Abl&E Jasco Romania Comert Si Servicii S.R.L.,bidder,,Cluj Napoca
RO_body_5d024bae4ed3d3bf2488d0505c050cb84fbefeed9b787422f289234caceb8cd3,About Srl,bidder,,Timisoara
EU_body_5152363abd0c8245f2110370b115650fa8bc73ae2b21b725454a748d1c2b84ab,Abs 2000 Srl,bidder,,Buzau
EU_body_a38912f3853198584b07ac14f2f0880f997671599a08dae91ff6a0a47f0095bf,Abt&Co Srl,bidder,,Bucuresti
EU_body_f74cb1b9da5177af81258b1fff1a12da023a4f9b65871214d7cb9fb8a05af4b3,Academia De Studii Economice,bidder,,Bucuresti
EU_body_a67cdad85f1e6b7423b6b096cb54ff9a57697260d9b06f863de5dffb418eebab,Academia De Studii Economice Bucuresti,buyer,REGIONAL_AUTHORITY,Bucuresti
RO_body_8e80363e51b153e4d7265afdb87a8fabf7cb020fe16d92095679f856a62381f0,Academia De Studii Economice Bucuresti,buyer,,Bucuresti
RO_body_c3b80336081b3ad100c6c0e3fa814276536463efc75c4990e0020e12877dac26,Acanta Import Export S.R.L.,bidder,,Cluj Napoca
EU_body_cfcea5560ab4d962dc804eba0159441e9a444c7de20a5c3ef1c886afaafcb545,Accent Print S.R.L.,bidder,,Suceava
EU_body_50fd650463eabd061a1d71575cb27f8fc721ca789760756f67514d5d7360be8c,Accesor S.R.L.,bidder,,Bucuresti
RO_body_f30c9391128d3cc75bfbe075a44f0717ef90a99c05cfd513370f97847368b198,Access Smart Consulting S.R.L.,bidder,,Ploiesti
EU_body_a1a7618265c8dc5ea7a78e636818e22a61bcb9d7ca6f959b35c27ac7370fe48d,Accor Services S.R.L. (Fost S.A.),bidder,,Bucuresti
RO_body_61ab9c89e0f641708d13f28633d19bf9c908719a3eb30c1fc9c10a373de02c8a,Accord Intelligent Technology S.R.L.,bidder,,Targu Jiu
EU_body_dab7b30117d3cd247673a0a6b354ab84b2e16a7c22fbc996f2ff5f73c08ea6e1,Acer Srl,bidder,,Drobeta Turnu Severin
EU_body_386a346d411b3991507b1fd4998c83713278773107d37adb73824ca87451a412,Aciram S.R.L.,bidder,,Bucuresti
RO_body_386a346d411b3991507b1fd4998c83713278773107d37adb73824ca87451a412,Aciram S.R.L.,bidder,,Bucuresti Sectorul 5
EU_body_2bc21ada2f3f930f722c772c7aa1b753f4fa51ed12dd43effb5f9dad62d626e1,Acomin S.A.,bidder,,Cluj Napoca
RO_body_ce033d8408981e9311168d610522e351477bce0660401702856209e78e64c476,Acord Prest S.R.L.,bidder,,Braila
RO_body_1dcfe80b35df43cc212ed0905221d5e127564532c502dd8e8f58df9edb46ed62,Acousticlight S.R.L.,bidder,,Bucuresti Sectorul 4
RO_body_9a84cc9b4fd4ec701344d822eb51b1c2f9b3f452fd475c7085195acf9731e6f0,Acrilo Serv S.R.L.,bidder,,Bucuresti Sectorul 4
RO_body_10c156a9fe9ce1c010a9e3daefef2de8093cbf9ae549e4fa66207bf12beef26f,Acsial S.R.L,bidder,,Braila
EU_body_41225ff5eb257aced059a38e24e472a87ab12a3fbd0d96cb6ead0da2c73e8c1e,Actavis S.R.L.,bidder,,Bucuresti
EU_body_24c12b3a6a07afae7b11344581e87fec9f6072837d34a764cea1e81d21639e7f,Actavis S.R.L.,bidder,,Bucuresti
RO_body_574f3259e7428b349e444489865bf42c28d13d04c6d2bde512434375cba66e6b,Actavis S.R.L.,bidder,,Bucuresti Sectorul 1
RO_body_ff45aa19259240e580c5c13bfaae5ffd03a79c8aeb64c989bfe95c60790cd097,Actec S.R.L.,bidder,,Bucuresti Sectorul 2
RO_body_ccbb46e03e284aa6ec3047e177ba3e4583af8f0abdf53a8d09e38e4172f97099,Activ S.R.L.,bidder,,Bucuresti Sectorul 2
RO_body_7f1167ae29a6a757cb7b49d19e34005d29e506ece0e7ddf9a1be73a13de92b41,Activ Systems & Solutions S.R.L.,bidder,,Bucuresti Sectorul 6
RO_body_82c427594af95b2003df916b3b651f47155d0724213ca8d4bed42b17a205cfcd,Active Media & Marketing S.R.L.,bidder,,Braila
RO_body_626b1a911ef70ac17ac91e79ee296535e60c4885b6a44649ee356228fd0e5fca,Actual Connect S.R.L.,bidder,,Bucuresti Sectorul 5
RO_body_8e4589be6ee1dd93e93247bc00a4fbf9f0326f26bff3ff78e95e99e8af635c9d,Acum Adv S.R.L.,bidder,,Ploiesti
RO_body_a3b9d30d308049803f71b51b5134be4418463cfde37de3b84c4e80b323725e4b,Acval S.R.L.,bidder,,Ploiesti
RO_body_3ebec8dd49c9dd06f3c155eea349f4f50f1654345d8016940001afc1d0c6e949,Acvila Birotica S.R.L.,bidder,,Bucuresti Sectorul 5
RO_body_53558ddc3cda03c2dedb271199d76858f083745633c42e025f57010a7c02c819,Ada Serv Computers S.R.L.,bidder,,Bucuresti Sectorul 4
RO_body_5d21f16626bd3de07589c987838d6908fc8d28cf398bd196dafd103d6d7b4f7b,Adaco Pro Tim S.R.L.,bidder,,Timisoara
RO_body_4f15a9db6ab1f86a1239c3079a04141be0938332cf6e6b804520ea55b57d6b6f,Ada-Sena S.R.L.,bidder,,Constanta
RO_body_8a7ba26ede38dac8f270f03c7c83db49df3af8675db98a6c0e0d14a5519441f1,Adca Proiect Group S.R.L.,bidder,,Bucuresti Sectorul 3
EU_body_6c41606508283bf7bb4b7df56826bc2c7866521b0f401b03c2ca6c4428c6010d,Adcon S.R.L.,bidder,,Ramnicu Valcea
RO_body_7c29bbacfd953ef05f43205e6866b9732413884f84f28c474d23301198adb843,Adcon S.R.L.,bidder,,Ramnicu Valcea
RO_body_72bf65cc3ac1475f3d610527f2b7c0b670add0d48280646241a757f9ebe687e4,Addicted S.R.L.,bidder,,Satu Mare
EU_body_49d5dbb38b0845b5c597891f672522634975c8df9b028777fea13146c41f9efa,Addvances S.R.L.,bidder,,Iasi
EU_body_5f13fdafbbeac13f5b3d0bdc67198b0507f5e1df8d64e609e691bf599589d241,Adea Plus S.R.L.,bidder,,Bucuresti
RO_body_fd76743bb9061add7bfe750c6bf4f754e70ee2c7f7e31920de9f7febbc0e4d38,Adea Plus S.R.L.,bidder,,Bucuresti Sectorul 6
RO_body_71cea4b7308eff32a3c4ae28cd6912a47619fb255221f82ab38f389e30977233,Adecor Servicii S.R.L.,bidder,,Oradea
RO_body_2e49aa2884679e76958861aa9a47839552560f75e2f2707c63baaea111159ac2,Adf Prod S.R.L.,bidder,,Piatra Neamt
RO_body_3aba21027abedf01198c9f8a30bed9827ed8fac48504f6a1caff1fa4b4c48c13,Adia Trade S.R.L.,bidder,,Calarasi
EU_body_b5f5eb6af735433ee7a8a2db6977fb4eee5d874373ef548f852d264895d0f5ac,Adina S.R.L.,bidder,,Galati
EU_body_acd8a3c067d35858c16fef3d36f912c934de079cb5cd078bfc7e8e92bbb59933,Adion Prodimpextrans S.R.L.,bidder,,Bucuresti
RO_body_ca46db4e96d9b4adadf51d1173dc71848be892037dcb62988ba1fd37901556f1,Adion Prodimpextrans S.R.L.,bidder,,Bucuresti Sectorul 2
RO_body_7734a8c08f2a5945133bd766230deebb7b0d13fddf9b163eef89288ae9b359d4,Adir Soft Advertising S.R.L.,bidder,,Bucuresti Sectorul 2
RO_body_84354e131010589667972b9d76c6328b0a13c8d3bf86e6bc19584d94fa284562,Adison Company S.R.L.,bidder,,Iasi
hash::group_RO_body_f73bf83bae89167690692ce906b4982835b76045c00ba6b7f84106098ad56fd2,Adiva Impex S.R.L.,bidder,,Arad
EU_body_afed37b4f6f21aa0c4cdfa60ade31ccf28afaf488052fe24522ed44dbc000eb7,Adm Farm,bidder,,Bucuresti
EU_body_f8b1ff76c93270cce5261bb24adc0ffed02530b32d4834a309e8e9a1418dbb5b,Adm Farm Srl,bidder,,Bucuresti
EU_body_0f927ddc662f7e747d906c524673c1253d7660dd40e803231efd259419c4f8c0,Administratia Cimitirelor Si Crematoriilor Umane Bucuresti,buyer,OTHER,Bucuresti
EU_body_17a51f46b1d3efee3e7144d8cc31c9eba866e61d13d79ba4471875f0a5ba3ea0,Administratia Domeniului Public Pitesti,buyer,REGIONAL_AUTHORITY,Pitesti
EU_body_b0158f3f869f0d82520fca17bcb214b74c5f267531a1d4180a320036b8cf5d7b,Administratia Domeniului Public Sector 1,buyer,REGIONAL_AUTHORITY,Bucuresti
EU_body_3ecc97e4ede6162c82f332ac585730c7bc9a7f549e1c5914a2d6d380a2b68ea4,Administratia Domeniului Public Sector 2,buyer,REGIONAL_AUTHORITY,Bucuresti
EU_body_00890031ef6830508b512d449fff9187f97e6995f46385f75612b018d18e8140,Administratia Domeniului Public Sector 5,buyer,REGIONAL_AUTHORITY,Bucuresti
EU_body_d2bb27b50016ac25d1d5286b7bcfe847de35054b5940474c86933c7130a8f535,Administratia Domeniului Public Sector 6,buyer,REGIONAL_AUTHORITY,Bucuresti
EU_body_9e6648360728e51d048fb560ebce26c32e1c88aa8c8916b54dd733977f5e9891,Administratia Domeniului Public Si Privat Ploiesti,buyer,REGIONAL_AUTHORITY,Ploiesti
EU_body_b8a6d85376b7e3818793b206354044ab818556a45d45e52af7f5076b892975df,Administratia Fluviala A Dunarii De Jos Ra Galati,buyer,PUBLIC_BODY,Galati
EU_body_d6d92084949a9031adbf7c7e8906b706e396dae77669b1d003cd8b3e1041f8f9,Administratia Fondului Imobiliar Al Unitatilor Sanitare Publice Sector 1,buyer,REGIONAL_AUTHORITY,Bucuresti
EU_body_a75075844b75357ac1ca7f0e49bc8e32162aebcdc996cc5f820cf6cde6bd1099,Administratia Imobiliara Oradea,buyer,NATIONAL_AUTHORITY,Oradea
EU_body_06dd7cee58d38d1dea31b9c7a906a8be8b22fdfbb899629ffd1be7c6c352b15d,Administratia Lacuri Parcuri Si Agrement Bucuresti,buyer,REGIONAL_AGENCY,Bucuresti
EU_body_773f40e84880b1aa437b5b4527e35d00a81e7ecb491db6cde094b02192146102,Administratia Lacuri Parcuri Si Agrement Bucuresti,buyer,REGIONAL_AUTHORITY,Bucuresti
EU_body_7a5c3e62a3350239ccf57b513be40165c8f8111aa9bca2661ce6fd128a4e3523,Administratia Monumentelor Si Patrimoniului Turistic,buyer,REGIONAL_AUTHORITY,Bucuresti
EU_body_2cf5ff8daf22135ba0b2e45277137da9cec1c303a87c2618f65356f083872cf3,Administratia National Apele Romane -Directia Apelor Mures,buyer,NATIONAL_AUTHORITY,Targu Mures
EU_body_33b10734d8184c4d3fd384dea1204336b7fb7da3f879a299bb5bd6de2efcfd18,Administratia Nationala A Imbunatatirilor Funciare Ra,buyer,OTHER,Bucuresti
EU_body_2ede621f6db4c9f37db6a15e8cc6c4dd764dfe4b6ed7c977ce38018df5a64694,Administratia Nationala A Imbunatatirilor Funciare Ra,buyer,OTHER,Bucuresti
EU_body_b1ba5465aefec107971de09b5501e154efce9c50522ff59f1a9a2eedc54495bc,Administratia Nationala A Rezervelor De Stat,buyer,NATIONAL_AGENCY,Bucuresti
EU_body_3732edaa2ea13ef79a237cef33096a02e81db61f4059bc59505200ce54b35944,Administratia Nationala A Rezervelor De Stat - Unitatea Teritoriala 515 Bucuresti,buyer,NATIONAL_AUTHORITY,Bucuresti
EU_body_23cc2a22ba2e5f972edc78a22fcbf78707fb92137af7dc1803e2d4a850e1f651,Administratia Nationala Apele Romane,buyer,OTHER,Bucuresti
EU_body_48dd304f411f071b26263f0af76dbf2a88bc250ec276e9861d7c6e9a69aadd34,Administratia Nationala Apele Romane - Directia Apelor Jiu Craiova,buyer,NATIONAL_AUTHORITY,Craiova
EU_body_c88161f8c7ab6f87e601655cb96e49c3d2196041d3fac2fea52b72c3de3acf55,Administratia Nationala Apele Romane -Directia Apelor Banat,buyer,NATIONAL_AUTHORITY,Timisoara
EU_body_9bacba980e292313bb102a2633b97f0be9fdf70dc4272d5655cf355205aaf76f,Administratia Nationala De Meteorologie,bidder,,Bucuresti
EU_body_b7eb8853932a58d87bad458b36e6c25493f6e82fe73c4f0493e97c6ea6063450,Administratia Pietelor Municipiului Pitesti,buyer,REGIONAL_AUTHORITY,Pitesti
EU_body_9a587ca8bde3848f1e7ad0343d270417fe521c852c7f262b6c6c40531815af0f,Administratia Pietelor Sector 6,buyer,OTHER,Bucuresti
EU_body_cc2eeb8d686b6655a55d8c59867ece1e6118f014bc483bbc89a641534a5fa897,Administratia Pietelor Sector 6,buyer,OTHER,Bucuresti
EU_body_16284370452b36f9cf4b69a87dc6aa7b5c40a9d374e54acdfccbeaf8af1c35ae,Administratia Sistemului National Antigrindina Si De Crestere A Precipitatiilor,buyer,NATIONAL_AUTHORITY,Bucuresti
EU_body_7f5bff4c9c5134d277ef57c1a6285d4280872552cc8b96d1a489b4101ed3fffd,Administratia Strazilor Bucuresti,buyer,REGIONAL_AUTHORITY,Bucuresti
EU_body_d84c2dc8a6521a0e4264b7f8aa69f8e5906c4128f1e467e974da00d59753360b,Administratia Strazilor Bucuresti,buyer,REGIONAL_AUTHORITY,Bucuresti
RO_body_5707990d27f0891c017a6d8e035c2ab32d844eb60a94a2fd073ac3467a45b33a,Ador S.R.L.,bidder,,Brasov
RO_body_75ec0da1254e3fc40e5bb1bec568bc1fb07079d7e66ac9106f293a2c9f4579a9,Adori Lighting S.R.L.,bidder,,Bucuresti Sectorul 2
EU_body_48c3ead9cab1ab41392b7753a833cbac180f31e7b796ef5237ff8b72d4092695,Adras Com Impex S.R.L.,bidder,,Bucuresti
RO_body_8799f7fd54285d673a4e79f09ed87fd6594ec9d72fd2758c32c3833244175027,Adras Com Impex S.R.L.,bidder,,Bucuresti Sectorul 6
RO_body_cfdd25dec4df62622bd3f42054491fedcdaed3728b8962761985e9244f6ab8f6,Adria Food S.R.L.,bidder,,Arad
EU_body_01680b84537c6214a3d8591518ec0f32801247ef88732e83ff7302937224b9e3,Ads Professionals,bidder,,Bucuresti
EU_body_7e9e21d992b0db0354a6e8d404353e8242977b760f1aa74ec301d96edde11270,Ady Trans Com Srl,bidder,,Satu Mare
EU_body_be1536f560a69fa5f12f2795a7960b926ca38b4e77ace77e80282e046097f401,Aedificia Carpati S.A.,bidder,,Bucuresti
EU_body_de0bf136b49b62bf04c07deeb16b8bb7ae7ab709f861aaef43922dea52521ea5,Aedificia Carpati Sa,bidder,,Bucuresti
EU_body_a7c299431d6955362675c638f2866f9d9d73427173b85051f8712120b45dbdca,Aem Sa,bidder,,Timisoara
RO_body_19802c1748157c7dad42f64ed9301e8d266218cb4b38527e889d11a79775b742,Aemme S.R.L.,bidder,,Craiova
EU_body_cc1a047d173b754d92abe72d3c83a24dea5b4875f13459691bba89c03df08c31,Aeneas Trading S.R.L.,bidder,,Bucuresti
RO_body_b76a712ab9d773fe03f3340feca280a599a9ef6d9c8ec634b0575320876effbc,Aer Clima S.R.L.,bidder,,Braila
EU_body_7ea85ffee0a6bf37abf637c4b947f7b4268f5f60bdab0d13a87b626db4bf434d,Aeroclubul Romaniei,buyer,OTHER,Bucuresti
EU_body_411cd8096bc4e3ea6654dad994a3d72381bc2978bf4f17c8b41a15b967b81720,Aerofina S.A.,bidder,,Bucuresti
EU_body_8b0ac14c97821133e16bf8cff0898ee3fc7ed7855b9e0f120cf6cfbe35266239,Aeroportul Arad Sa,buyer,PUBLIC_BODY,Arad
EU_body_5f3bf176739d580e74866d642200cbbac32c9115dc583faa3396befac2a3d392,Aeroportul International Bucuresti Baneasa - Aurel Vlaicu S.A.,buyer,PUBLIC_BODY,Bucuresti
EU_body_33b728229caef56ae2ac0664c984021097a322eeccc37dbfe161b364857ce5ea,Aeroportul Sibiu R.A.,buyer,PUBLIC_BODY,Sibiu
EU_body_8362922416f67c4780870e565e4cec0c98f6e286f5c2b77483c2e69f569d2f49,Aerostar S.A.,bidder,,Bacau
EU_body_e79d73d295cd89d4406fd157dc85ccabf2ab5a2c1588586bb257aa6b441c3ff0,Aeroteh S.A.,bidder,,Bucuresti
EU_body_69d8ed288eda5ef9a4d3fbbdd2b293f2cbf729f445ddfa399d449252dce3cc58,Af Marcotec S.R.L.,bidder,,Bucuresti
RO_body_82c4c25f2fa8b09a1b386a379f62126a78975c7b26ec25d17f80edfd3bff8ae6,Afacov Consulting Group Srl,buyer,,Sfantu Gheorghe
RO_body_8e85983c6093ba6726712ceb9fd3c2b1f324b4a426419b89e47fa17fc566acb0,Afer S.R.L.,bidder,,Iasi
EU_body_66f264db4800966a64bf90d086cb93d6fa8583ab31268d57804d87aa970f775e,Afer Srl,bidder,,Iasi
RO_body_459c410ee10496b42500c9ca2931f79602783ae107968c2d5d29554eb63a134e,Afico S.A.,bidder,,Bucuresti Sectorul 5
RO_body_964d09ad0d0a052c7b5a4c97ba2d202775214351e9b910726f264a8507fdc7ba,Afina Impex S.R.L.,bidder,,Ploiesti
EU_body_a4d78196eb7e66b90f0d7b6a57dde2a55c7772e7b98823e0c2b7fe256af8f533,Aga Import Export S.R.L.,bidder,,Bucuresti
EU_body_eed7b7da2d7aca22b456913be808e46fc639748a5fa9d4b800f8711617fa5c61,Agentia De Administrare A Retelei Nationale De Informatica Pentru Educatie Si Cercetare,buyer,NATIONAL_AUTHORITY,Bucuresti
RO_body_edcecd13e873e2c00f9be63d62268c6c0f8e9a15171471bd8d3c97458ff6195e,Agentia De Dezvoltare Durabila A Judetului Brasov,buyer,,Brasov
EU_body_98672b45d5ac30f1cf5277c5d0229e581ffeb7ecb06682f36ded77c66cae08c1,Agentia De Plati Pentru Dezvoltare Rurala Si Pescuit,buyer,NATIONAL_AUTHORITY,Bucuresti
EU_body_4cbb2b72e622adacac6059b50f28f47c5d9a51b74c5b02affd6223a53612bf0d,Agentia De Plati Pentru Dezvoltare Rurala Si Pescuit,buyer,NATIONAL_AUTHORITY,Bucuresti
EU_body_a71760bad947bdf3a1d37c9708f6dc7a1dccd5bde5b1da49eb79cee777e4e87a,Agentia De Plati Si Interventie Pentru Agricultura,buyer,NATIONAL_AUTHORITY,Bucuresti
EU_body_e169da422252a5806cbb533873a8dc447baf451c96eb0b3cb7d150b57492fb2f,Agentia Judeteana Pentru Ocuparea Fortei De Munca Cluj,buyer,REGIONAL_AGENCY,Cluj Napoca
EU_body_d6c9954b6c49f8dff020b791e9825d9606424f7a7cd003041f1e9a0ed8b44057,Agentia Nationala A Functionarilor Publici,buyer,NATIONAL_AGENCY,Bucuresti
EU_body_39b109e2c3d6c77f7f3a1e8bdc9fab562efe734e0939c82190b9f76520dde127,Agentia Nationala A Functionarilor Publici,buyer,NATIONAL_AGENCY,Bucuresti
EU_body_577873527a9d5b69024bb3030b9f98ef3cf5ca0f83931f91e76cee475912705a,Agentia Nationala A Medicamentului,buyer,OTHER,Bucuresti
EU_body_fd150a22ec71f1fbac117791aa6a884d2ea3b5370f5fbd19c54810bfbe790568,Agentia Nationala Antidrog,buyer,NATIONAL_AGENCY,Bucuresti
EU_body_eac6e4dd7b439e2de1c128ef65c0ad265e91258b420bf235f5c78912ad0e4ad9,Agentia Nationala De Administare Fiscala,buyer,NATIONAL_AUTHORITY,Bucuresti
EU_body_3d8ff7d6bdc78f73a8d63286c5d43d9456d1c45c9d0d2d3613ebc61ad9a91512,Agentia Nationala De Cadastru Si Publicitate Imobiliara,buyer,NATIONAL_AGENCY,Bucuresti
EU_body_9fb5a6c96bdd9f1735a280548f5e1a80f82ec0fddb9e7886d2c14518c3547446,Agentia Nationala De Cadastru Si Publicitate Imobiliara,buyer,NATIONAL_AGENCY,Bucuresti
EU_body_5d30d182fc49001e56ca66cf5f96b25e99db41c177354debc167d1bda4887c06,Agentia Nationala De Integritate,buyer,NATIONAL_AGENCY,Bucuresti
RO_body_914ae306c5e31b35329a635f4ad994948479fda79380b8dfe818593fc1397c08,Agentia Nationala De Presa Agerpres,bidder,,Bucuresti
